Date;Action;Tickers;Nombre;Prix;Monnaie;Total;Change;En dollars
2023/2/27;Vente;JPM;-7;142.67;Dollars;-998.69;1;-998.69
2023/2/28;Achat;UNP;1;211;Dollars;211;1;211
2023/2/28;Achat;CTAS;1;439.7;Dollars;439.7;1;439.7
2023/2/28;Achat;STLD;2;126.4;Dollars;252.8;1;252.8
2023/3/1;Achat;ABBV;17;153.38;Dollars;2607.46;1;2607.46
2023/3/1;Vente;JNJ;-11;152.62;Dollars;-1678.82;1;-1678.82
2023/3/1;Vente;JNJ;-7;152.96;Dollars;-1070.72;1;-1070.72
2023/3/28;Achat;NXST;4;165.66;Dollars;662.64;1;662.64
2023/3/29;Achat;TTE.PA;6;53.7;Euros;322.2;1.084315;349.366293
2023/3/26;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/4/28;Achat;STLD;2;103.44;Dollars;206.88;1;206.88
2023/4/28;Achat;UNP;1;196.19;Dollars;196.19;1;196.19
2023/4/28;Achat;O;2;62.71;Dollars;125.42;1;125.42
2023/4/28;Achat;ABBV;2;149.77;Dollars;299.54;1;299.54
2023/4/28;Achat;IPG;58;35.3;Dollars;2047.4;1;2047.4
2023/4/28;Vente;T;-118;17.38;Dollars;-2050.84;1;-2050.84
2023/4/23;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/6/14;Achat;IPG;2;40.245;Dollars;80.49;1;80.49
2023/6/14;Achat;ABBV;2;136.5;Dollars;273;1;273
2023/6/14;Achat;O;5;61.34;Dollars;306.7;1;306.7
2023/6/14;Achat;TGT;2;134.04;Dollars;268.08;1;268.08
2023/6/11;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/7/6;Achat;ABBV;2;137.53;Dollars;275.06;1;275.06
2023/7/6;Achat;CPK;1;118;Dollars;118;1;118
2023/7/6;Achat;CPK;3;118;Dollars;354;1;354
2023/7/6;Achat;TTE.PA;4;51.93;Dollars;207.72;1;207.72
2023/7/2;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/7/27;Achat;AWK;2;149;Dollars;298;1;298
2023/7/27;Achat;STLD;3;103.96;Dollars;311.88;1;311.88
2023/7/27;Achat;IPG;7;33.13;Dollars;231.91;1;231.91
2023/7/23;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/8/27;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/9/5;Achat;O;8;56.05;Dollars;448.4;1;448.4
2023/9/5;Achat;IPG;12;32.55;Dollars;390.6;1;390.6
2023/10/10;Achat;O;19;50.34;Dollars;956.46;1;956.46
2023/10/8;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/10/31;Achat;O;1;46.35;Dollars;46.35;1;46.35
2023/11/6;Vente;TGT;-3;112.8;Dollars;-338.4;1;-338.4
2023/11/6;Vente;TGT;-3;112.8;Dollars;-338.4;1;-338.4
2023/11/5;Depot;Cash;750;1;Euros;750;1.13115;848.3625
2023/11/13;Achat;LOW;2;193.24;Dollars;386.48;1;386.48
2023/11/13;Achat;SPGI;1;394.42;Dollars;394.42;1;394.42
2023/11/13;Achat;CPK;5;86.29;Dollars;431.45;1;431.45
2023/11/13;Achat;IPG;8;28.78;Dollars;230.24;1;230.24
2023/12/12;Depot;Cash;750;1;Euros;750;1.079825;809.86875
2023/12/12;Achat;LOW;1;206.42;Dollars;206.42;1;206.42
2023/12/12;Achat;ABBV;3;151.73;Dollars;455.19;1;455.19
2023/12/12;Achat;UNP;1;233;Dollars;233;1;233
2024/1/11;Depot;Cash;750;1;Euros;750;1.098055;823.54125
2024/1/11;Achat;COST;1;672.11;Dollars;672.11;1;672.11
2024/1/11;Achat;AAPL;1;185.24;Dollars;185.24;1;185.24
2024/1/11;Achat;O;1;59.14;Dollars;59.14;1;59.14
